x,2011,2012,2013
Net sales,108249,156508,170910
Cost of sales,64431,87846,106606
Gross Profit,43818,68662,64304
Operating expenses:,,,
Research and development,2429,3381,4475
Selling General & Admin,7599,10040,10830
Total operating expenses,10028,13421,15305
Operating income,33790,55241,48999
Other income/(expense) - net,415,522,1156
Income Before taxes,34205,55763,50155
Provision for income taxes,8283,14030,13118
Net income,25922,41733,37037
EPS Basic, 28.05 , 44.64 , 40.03
EPS Diluted, 27.68 , 44.15 , 39.75
