x,2011,2012,2013
google revenues, 37.9 , 46.0 , 55.5 
motorola revenues, -  , 4.1 , 4.3 
total revenues, 37.9 , 50.2 , 59.8 
cost of revenues - google, 13.2 , 17.2 , 22.0 
cost of revenues -motorola, -  , 3.5 , 3.9 
R&D, 5.2 , 6.8 , 8.0 
selling and marketing, 4.6 , 6.1 , 7.3 
general and administrative, 2.7 , 3.8 , 4.8 
doj-charges, 0.5 , -  , -  
total cost and expenses, 26.2 , 37.4 , 45.9 
income from operations, 11.7 , 12.8 , 14.0 
interest and other, 0.6 , 0.6 , 0.5 
income from continuing ops, 12.3 , 13.4 , 14.5 
provision for taxes, 2.6 , 2.6 , 2.3 
net income from continuing ops, 9.7 , 10.8 , 12.2 
net income from discontiued ops, -  , 0.1 , 0.7 
net income, 9.7 , 10.8 , 12.9 
eps, 29.76 , 32.31 , 38.13 
